StudentGradeBook
gender,ethnic group,parent education level,meal plan,exam preparation,MAT grade,CIS grade,ACC grade
female,group C,high school,free/reduced,none,74,57,37
female,group D,associate's degree,free/reduced,completed,64,63,85
female,group D,some high school,free/reduced,none,55,60,42
male,group D,some college,free/reduced,completed,37,78,70
female,group C,bachelor's degree,standard,none,83,83,52
female,group B,high school,standard,none,70,59,84
male,group B,some high school,standard,none,87,37,78
male,group B,high school,standard,none,58,69,76
female,group C,associate's degree,standard,none,80,67,67
male,group C,some college,free/reduced,none,49,48,66
female,group B,associate's degree,free/reduced,none,77,40,80
female,group D,some high school,free/reduced,none,42,42,73
male,group E,some high school,standard,completed,57,63,72
female,group C,high school,standard,none,61,84,78
female,group C,some college,standard,none,68,89,98
male,group D,associate's degree,standard,completed,80,85,84
female,group D,master's degree,free/reduced,none,68,61,63
female,group B,associate's degree,standard,none,72,80,78
male,group B,some high school,free/reduced,completed,68,36,57
female,group C,bachelor's degree,standard,none,73,90,97
male,group C,some college,standard,completed,51,71,71
female,group D,some college,standard,completed,75,72,100
male,group D,associate's degree,standard,completed,76,70,89
female,group C,some college,free/reduced,none,22,61,57
female,group C,associate's degree,standard,none,67,48,83
male,group C,some college,standard,completed,97,65,92
female,group B,some high school,standard,none,57,69,74
male,group D,some college,standard,completed,47,80,83
male,group D,bachelor's degree,standard,none,81,93,64
male,group C,high school,free/reduced,none,59,71,61
male,group E,some college,free/reduced,none,41,81,35
male,group E,some college,free/reduced,completed,60,70,38
male,group E,high school,standard,none,60,53,73
male,group D,some high school,standard,completed,52,55,58
male,group B,master's degree,free/reduced,none,74,65,65
male,group A,some high school,standard,none,73,37,41
female,group B,high school,free/reduced,completed,62,66,63
female,group D,some high school,standard,none,50,73,68
male,group A,some high school,standard,none,79,65,38
female,group E,some college,standard,none,96,67,45
female,group D,master's degree,standard,none,80,90,71
male,group D,some high school,standard,none,77,55,57
female,group C,bachelor's degree,free/reduced,completed,36,94,79
female,group C,some college,standard,none,50,91,73
female,group C,some high school,standard,none,73,81,72
female,group E,some high school,free/reduced,none,37,58,63
male,group A,some college,standard,none,76,93,61
female,group E,some high school,free/reduced,completed,63,52,64
male,group D,some high school,standard,completed,93,56,48
male,group A,high school,standard,none,52,62,60
female,group D,master's degree,standard,none,80,76,89
male,group C,high school,standard,none,53,88,67
male,group C,high school,standard,none,78,96,70
female,group E,some college,free/reduced,none,46,75,47
female,group C,some college,standard,none,61,81,80
female,group B,master's degree,free/reduced,none,75,46,75
male,group D,some college,standard,none,78,76,37
female,group D,some college,standard,completed,78,80,79
female,group B,some college,standard,none,67,68,77
male,group A,some high school,standard,none,88,47,60
male,group C,master's degree,free/reduced,completed,65,71,64
female,group D,some college,standard,none,50,61,82
female,group E,associate's degree,standard,none,63,87,77
female,group D,high school,standard,completed,81,63,68
female,group B,high school,standard,none,83,62,65
male,group D,master's degree,standard,completed,83,68,88
male,group C,high school,standard,none,88,57,60
male,group B,bachelor's degree,free/reduced,none,65,73,68
male,group E,high school,free/reduced,none,50,73,65
female,group B,high school,free/reduced,none,38,68,43
female,group C,associate's degree,standard,none,75,65,100
male,group B,high school,standard,completed,93,67,82
male,group B,master's degree,free/reduced,completed,94,59,90
male,group E,bachelor's degree,standard,none,83,61,73
female,group E,high school,standard,none,92,65,71
female,group C,associate's degree,free/reduced,completed,82,60,64
female,group B,high school,free/reduced,completed,92,54,66
female,group C,some high school,standard,none,84,64,66
male,group A,some high school,free/reduced,completed,60,53,66
male,group D,bachelor's degree,free/reduced,none,58,72,66
female,group B,some college,free/reduced,none,55,60,80
female,group E,some college,free/reduced,none,82,85,65
female,group C,bachelor's degree,free/reduced,none,32,64,78
female,group C,bachelor's degree,standard,none,73,69,68
male,group A,high school,standard,none,85,59,54
male,group E,associate's degree,standard,none,95,100,61
female,group C,high school,standard,none,56,81,49
male,group C,associate's degree,standard,none,51,58,77
female,group C,bachelor's degree,standard,none,85,68,52
male,group D,associate's degree,free/reduced,none,71,56,68
female,group D,bachelor's degree,standard,completed,89,52,93
male,group E,bachelor's degree,free/reduced,none,80,75,69
male,group B,high school,standard,none,52,67,67
male,group D,some college,standard,none,46,58,66
male,group C,some college,standard,completed,82,57,87
male,group A,master's degree,standard,none,58,88,73
female,group B,associate's degree,standard,none,95,77,66
male,group D,associate's degree,standard,completed,85,80,59
female,group D,associate's degree,standard,none,85,63,74
female,group E,some college,standard,none,77,84,66
female,group C,associate's degree,standard,none,49,73,81
female,group D,high school,free/reduced,completed,56,62,71
female,group D,associate's degree,free/reduced,none,79,57,65
male,group C,some college,standard,none,100,83,45
female,group C,some college,free/reduced,completed,60,51,84
male,group C,associate's degree,free/reduced,none,69,56,65
male,group B,some high school,standard,none,58,64,68
male,group E,some high school,standard,none,59,45,62
female,group E,some college,free/reduced,none,62,81,58
female,group D,some high school,free/reduced,completed,51,87,54
male,group D,bachelor's degree,free/reduced,none,84,60,53
male,group D,associate's degree,free/reduced,none,75,65,57
male,group D,master's degree,standard,none,85,100,96
male,group C,some college,standard,none,77,61,65
female,group A,high school,standard,none,64,70,81
female,group D,master's degree,standard,completed,100,95,79
female,group D,some college,standard,none,62,36,62
female,group D,some college,standard,completed,96,100,98
male,group C,associate's degree,standard,none,83,71,65
male,group C,some high school,standard,completed,84,66,73
female,group C,some high school,standard,completed,68,64,51
female,group C,some college,standard,none,81,83,86
female,group D,bachelor's degree,standard,none,84,59,78
female,group D,high school,standard,none,60,85,84
female,group E,some college,standard,none,77,60,71
female,group C,bachelor's degree,free/reduced,none,83,70,53
female,group C,high school,standard,none,56,100,71
male,group B,bachelor's degree,free/reduced,completed,83,100,78
female,group E,some college,standard,none,66,80,73
male,group D,some high school,free/reduced,completed,74,40,57
female,group C,high school,standard,completed,53,49,64
female,group B,some college,free/reduced,none,40,69,64
female,group A,high school,free/reduced,none,69,46,58
female,group B,high school,free/reduced,none,58,69,68
male,group B,some college,standard,none,100,67,55
male,group C,associate's degree,standard,completed,57,84,46
male,group D,master's degree,free/reduced,none,53,82,71
female,group C,some college,standard,completed,63,77,77
female,group B,some college,free/reduced,none,63,52,59
male,group C,some college,standard,none,78,63,80
female,group D,high school,free/reduced,none,53,87,44
female,group D,bachelor's degree,standard,completed,91,89,84
female,group B,some college,standard,none,92,62,49
male,group C,high school,free/reduced,completed,31,77,58
female,group D,bachelor's degree,free/reduced,none,80,69,66
male,group C,some high school,free/reduced,none,75,47,35
male,group B,some high school,standard,completed,73,62,82
female,group B,some college,standard,completed,73,65,57
male,group A,master's degree,free/reduced,none,86,62,70
female,group D,associate's degree,standard,completed,49,84,72
male,group B,some college,free/reduced,none,65,38,34
male,group C,some college,standard,completed,95,63,85
female,group C,associate's degree,standard,none,67,62,38
female,group D,high school,standard,none,58,63,62
female,group C,some high school,standard,none,49,65,78
female,group D,bachelor's degree,free/reduced,none,58,67,61
female,group B,some college,standard,none,78,61,56
male,group D,associate's degree,free/reduced,none,71,60,66
male,group D,high school,standard,completed,70,71,83
female,group B,bachelor's degree,free/reduced,completed,73,57,81
female,group E,associate's degree,standard,none,55,48,63
female,group A,some high school,free/reduced,completed,84,68,63
female,group A,high school,free/reduced,none,64,76,60
female,group C,some college,standard,completed,71,81,75
male,group B,associate's degree,free/reduced,completed,68,91,69
male,group D,some college,standard,none,72,75,35
female,group B,high school,free/reduced,none,40,44,61
female,group B,high school,standard,none,99,61,73
female,group E,some high school,standard,none,61,65,56
male,group D,associate's degree,standard,none,67,62,68
male,group C,associate's degree,free/reduced,none,78,68,53
female,group B,master's degree,standard,completed,91,94,95
female,group C,associate's degree,free/reduced,none,59,76,68
female,group B,some college,standard,none,81,72,66
male,group A,high school,free/reduced,none,55,33,67
male,group D,high school,standard,none,68,66,60
female,group C,some college,standard,none,71,93,80
male,group D,high school,standard,completed,52,68,88
male,group A,some college,standard,none,63,80,77
male,group A,associate's degree,free/reduced,none,77,63,79
male,group A,some high school,standard,completed,86,65,59
female,group C,some college,free/reduced,completed,81,58,99
male,group C,associate's degree,free/reduced,completed,79,67,74
male,group D,bachelor's degree,standard,none,72,68,70
female,group B,high school,free/reduced,none,34,48,46
male,group D,master's degree,free/reduced,completed,87,51,56
female,group E,associate's degree,standard,none,47,59,74
male,group A,some college,standard,completed,100,44,73
female,group C,master's degree,standard,none,80,86,77
male,group D,some high school,standard,none,62,86,66
male,group D,associate's degree,standard,none,88,90,77
female,group C,high school,standard,none,61,40,66
female,group A,high school,free/reduced,completed,59,67,68
male,group D,associate's degree,standard,completed,70,92,89
male,group D,high school,standard,none,73,46,45
female,group D,bachelor's degree,standard,none,64,91,62
female,group B,some high school,free/reduced,completed,43,32,56
male,group C,some high school,standard,completed,78,66,70
male,group B,master's degree,free/reduced,completed,74,82,76
male,group C,high school,free/reduced,none,11,64,39
male,group A,some high school,standard,none,28,59,46
female,group D,some high school,standard,none,58,61,47
female,group B,high school,free/reduced,completed,55,32,74
female,group E,some college,standard,none,100,57,71
female,group C,bachelor's degree,standard,none,55,92,51
female,group D,some college,standard,none,81,70,100
female,group A,some high school,free/reduced,none,36,52,56
female,group E,master's degree,standard,completed,71,97,100
male,group A,some college,standard,completed,100,60,74
male,group E,bachelor's degree,free/reduced,completed,77,59,72
female,group C,some high school,standard,none,73,21,66
male,group D,high school,standard,completed,75,67,69
female,group E,bachelor's degree,free/reduced,completed,73,62,57
female,group D,some high school,free/reduced,none,66,52,39
male,group C,some college,free/reduced,none,69,51,49
male,group C,some college,free/reduced,none,68,46,61
female,group D,master's degree,free/reduced,completed,61,75,72
male,group E,some high school,standard,none,76,93,73
male,group C,some college,standard,completed,87,58,71
female,group B,associate's degree,standard,none,79,81,69
male,group D,high school,standard,none,64,89,56
male,group C,master's degree,free/reduced,none,58,55,64
male,group B,associate's degree,free/reduced,none,60,65,50
female,group E,high school,free/reduced,none,44,36,51
male,group C,some college,free/reduced,none,61,43,66
male,group D,associate's degree,standard,none,68,66,92
female,group B,some college,standard,completed,87,77,57
male,group E,some high school,standard,none,45,70,52
male,group D,some high school,free/reduced,none,54,49,63
male,group B,some college,standard,none,45,45,72
male,group C,associate's degree,standard,none,79,57,67
female,group C,bachelor's degree,free/reduced,completed,65,63,72
male,group D,associate's degree,standard,none,84,99,64
male,group E,associate's degree,free/reduced,none,75,64,55
female,group E,associate's degree,standard,completed,70,81,87
female,group C,high school,standard,none,66,72,49
female,group D,high school,free/reduced,none,13,71,54
male,group D,some college,free/reduced,none,46,54,49
female,group D,bachelor's degree,standard,completed,75,78,49
female,group B,associate's degree,free/reduced,completed,71,73,47
female,group B,master's degree,standard,completed,74,100,91
female,group D,some high school,standard,completed,72,80,75
female,group C,master's degree,standard,none,73,73,82
female,group C,high school,standard,completed,70,79,79
male,group A,associate's degree,standard,completed,80,89,77
male,group A,some high school,free/reduced,none,67,43,47
male,group A,some college,free/reduced,none,56,52,75
male,group E,some college,standard,completed,85,85,79
female,group C,some college,standard,completed,70,88,71
male,group D,master's degree,free/reduced,none,71,64,78
male,group D,some college,free/reduced,completed,61,69,63
male,group E,bachelor's degree,standard,none,97,72,95
female,group D,bachelor's degree,free/reduced,none,68,100,56
female,group C,associate's degree,free/reduced,completed,88,58,71
male,group D,some high school,free/reduced,none,77,71,44
male,group D,some high school,standard,none,66,67,77
female,group D,associate's degree,standard,none,56,88,62
female,group C,bachelor's degree,standard,completed,95,69,87
female,group B,associate's degree,free/reduced,completed,49,89,68
female,group D,associate's degree,free/reduced,completed,98,70,70
male,group C,associate's degree,free/reduced,none,81,56,46
female,group C,some college,standard,none,62,63,81
female,group D,high school,free/reduced,completed,92,72,60
male,group D,associate's degree,free/reduced,none,51,50,59
female,group C,some high school,standard,none,71,83,50
male,group C,associate's degree,standard,none,41,70,69
male,group E,associate's degree,standard,none,93,59,82
male,group C,associate's degree,free/reduced,completed,92,64,89
male,group D,associate's degree,standard,completed,60,80,73
female,group E,some high school,standard,completed,79,77,54
female,group B,high school,standard,none,66,75,60
male,group C,some college,standard,none,78,87,53
female,group D,some high school,standard,completed,100,53,75
male,group C,high school,standard,none,42,58,73
male,group E,some college,standard,none,86,71,71
male,group D,some college,standard,completed,95,66,87
male,group C,associate's degree,standard,none,86,72,93
male,group C,associate's degree,free/reduced,none,72,62,66
female,group C,some college,free/reduced,completed,78,49,62
female,group D,associate's degree,standard,none,81,80,65
female,group D,bachelor's degree,standard,none,74,86,76
female,group D,bachelor's degree,standard,completed,98,85,87
female,group A,some college,standard,none,59,72,76
female,group B,associate's degree,standard,none,45,88,67
female,group E,bachelor's degree,standard,completed,67,90,66
female,group E,bachelor's degree,standard,completed,60,78,88
male,group D,master's degree,standard,none,100,75,77
female,group D,master's degree,standard,none,70,75,86
female,group B,associate's degree,standard,none,84,64,80
female,group D,associate's degree,free/reduced,none,44,50,64
female,group C,some high school,free/reduced,completed,41,77,49
female,group D,some college,free/reduced,completed,48,57,74
male,group D,high school,standard,none,79,80,89
male,group E,bachelor's degree,standard,none,77,62,62
male,group B,associate's degree,standard,none,84,100,52
female,group C,some high school,standard,none,86,67,78
male,group C,some high school,free/reduced,none,46,70,78
female,group C,high school,free/reduced,none,81,51,60
male,group E,high school,standard,none,40,64,67
female,group E,associate's degree,free/reduced,completed,85,64,78
male,group E,some college,standard,completed,54,57,67
female,group C,associate's degree,free/reduced,completed,79,52,55
male,group B,some high school,free/reduced,none,41,27,65
female,group B,high school,standard,none,53,52,72
male,group D,some college,free/reduced,completed,63,64,75
male,group B,associate's degree,standard,none,81,90,53
female,group B,some high school,free/reduced,none,74,53,32
male,group D,master's degree,standard,completed,100,100,85
female,group E,associate's degree,standard,none,69,89,74
male,group D,some college,free/reduced,completed,49,60,79
female,group A,high school,standard,completed,70,89,77
male,group C,associate's degree,standard,none,54,80,65
female,group D,associate's degree,free/reduced,completed,36,63,97
male,group B,some high school,standard,completed,59,92,64
male,group D,bachelor's degree,standard,completed,83,73,78
male,group B,bachelor's degree,standard,none,73,73,33
female,group E,associate's degree,standard,none,86,54,35
female,group E,some college,free/reduced,completed,68,68,81
male,group A,bachelor's degree,free/reduced,none,58,70,63
male,group C,some college,standard,completed,94,77,81
male,group C,some college,standard,none,59,75,92
male,group C,some high school,standard,none,73,68,58
female,group B,high school,standard,completed,59,71,81
male,group C,associate's degree,free/reduced,none,60,58,71
female,group E,master's degree,standard,completed,90,85,77
male,group E,some college,standard,none,75,67,77
male,group C,bachelor's degree,standard,completed,100,70,75
male,group B,some high school,standard,none,57,67,57
female,group E,some college,standard,completed,100,59,84
female,group C,some high school,free/reduced,none,57,64,62
female,group D,some high school,free/reduced,none,56,49,40
male,group D,high school,free/reduced,completed,73,59,28
male,group E,some high school,free/reduced,completed,59,42,74
female,group C,some high school,standard,none,70,95,67
female,group C,some college,standard,completed,44,80,65
male,group E,some high school,free/reduced,none,50,70,51
female,group B,some high school,free/reduced,completed,71,61,43
male,group B,associate's degree,standard,completed,88,76,87
female,group D,associate's degree,standard,completed,100,55,52
male,group B,some college,free/reduced,none,53,50,48
male,group D,high school,standard,none,64,34,71
female,group D,some college,standard,none,72,77,67
male,group E,associate's degree,standard,none,85,97,78
female,group C,high school,standard,none,59,52,45
female,group D,associate's degree,standard,none,74,80,84
female,group E,associate's degree,standard,none,75,58,64
female,group C,some high school,standard,none,55,72,54
female,group B,bachelor's degree,standard,completed,71,81,70
female,group D,some college,free/reduced,none,72,72,66
female,group B,some college,standard,none,68,65,67
female,group D,high school,free/reduced,completed,52,38,59
male,group C,some high school,free/reduced,none,76,62,33
female,group D,associate's degree,free/reduced,completed,60,94,100
male,group A,associate's degree,free/reduced,none,68,65,66
male,group C,some high school,standard,none,73,52,65
male,group C,some college,free/reduced,completed,85,75,65
female,group C,some high school,free/reduced,none,36,56,71
female,group D,some high school,standard,none,62,55,33
female,group C,some high school,standard,none,66,78,61
female,group A,some college,standard,none,87,63,67
male,group A,high school,standard,completed,91,79,83
female,group D,master's degree,standard,none,75,43,86
male,group E,some college,standard,none,79,71,95
male,group C,bachelor's degree,standard,completed,62,80,73
male,group C,some high school,standard,none,75,81,59
female,group E,master's degree,free/reduced,completed,71,74,51
male,group A,bachelor's degree,standard,none,85,58,78
female,group C,high school,free/reduced,none,28,52,61
female,group C,high school,free/reduced,completed,32,68,62
male,group D,some high school,free/reduced,completed,61,60,71
female,group C,some high school,standard,completed,69,60,40
male,group A,associate's degree,free/reduced,completed,75,76,83
female,group C,high school,standard,completed,51,63,64
female,group C,bachelor's degree,free/reduced,none,66,87,65
male,group C,some high school,standard,none,63,58,89
male,group A,high school,standard,none,78,71,84
female,group C,associate's degree,standard,completed,71,96,82
female,group B,associate's degree,standard,none,94,83,86
female,group B,some college,free/reduced,completed,72,47,83
female,group C,master's degree,standard,none,78,64,100
male,group B,high school,standard,none,69,64,58
male,group C,some college,standard,none,70,46,79
male,group D,some college,standard,completed,68,78,69
female,group D,high school,standard,none,77,71,69
male,group B,high school,standard,completed,92,66,81
female,group D,some college,standard,completed,60,68,80
female,group D,some high school,standard,none,77,71,48
male,group C,some college,free/reduced,none,66,51,69
female,group A,associate's degree,free/reduced,none,81,66,55
female,group D,associate's degree,standard,none,69,81,64
male,group D,high school,free/reduced,completed,69,61,51
female,group D,some college,free/reduced,none,80,66,79
female,group C,master's degree,standard,none,72,95,79
male,group A,some high school,free/reduced,none,41,42,78
male,group B,some high school,standard,none,44,67,79
female,group C,high school,free/reduced,completed,73,70,52
male,group D,some high school,standard,none,52,55,71
male,group C,some college,free/reduced,completed,67,69,66
male,group C,high school,standard,none,45,64,53
female,group E,high school,free/reduced,completed,64,40,64
female,group D,high school,standard,completed,74,68,68
female,group C,some college,standard,completed,62,76,65
female,group C,high school,standard,none,63,73,63
female,group A,associate's degree,standard,completed,95,62,68
female,group C,high school,standard,none,85,86,56
male,group C,bachelor's degree,standard,none,90,80,69
male,group D,bachelor's degree,free/reduced,completed,65,92,62
female,group D,associate's degree,standard,completed,57,79,82
female,group D,associate's degree,free/reduced,none,45,64,68
male,group D,high school,standard,none,80,67,78
female,group C,some college,standard,none,71,95,73
male,group D,high school,free/reduced,completed,61,65,80
male,group C,high school,free/reduced,none,61,65,48
female,group C,associate's degree,free/reduced,completed,83,93,66
male,group D,bachelor's degree,standard,none,60,78,68
female,group C,some college,standard,none,72,100,65
male,group C,bachelor's degree,standard,none,84,76,81
male,group C,high school,standard,none,62,68,60
male,group A,some college,standard,none,85,81,65
female,group C,some college,standard,none,74,77,71
male,group D,associate's degree,free/reduced,completed,69,84,71
female,group C,some college,free/reduced,none,58,52,54
male,group C,some college,free/reduced,none,42,59,53
female,group A,high school,free/reduced,completed,76,61,47
female,group E,associate's degree,standard,completed,76,91,83
female,group B,some college,standard,none,80,78,71
male,group B,bachelor's degree,standard,none,64,78,87
male,group A,some college,free/reduced,completed,72,52,77
male,group E,some college,free/reduced,none,64,61,52
female,group B,some college,standard,none,69,65,65
female,group C,associate's degree,free/reduced,completed,76,44,91
male,group C,associate's degree,standard,completed,60,92,76
female,group D,some high school,standard,none,48,69,74
female,group E,associate's degree,standard,none,56,73,84
female,group E,some college,standard,none,96,53,74
male,group D,bachelor's degree,free/reduced,none,97,55,51
female,group C,some high school,standard,completed,70,69,59
female,group A,associate's degree,free/reduced,completed,73,88,78
female,group D,bachelor's degree,standard,none,74,73,84
male,group C,bachelor's degree,standard,completed,68,82,63
male,group E,some college,standard,none,72,71,48
female,group B,high school,standard,none,80,79,66
female,group B,some high school,free/reduced,none,70,62,43
female,group E,master's degree,free/reduced,none,96,66,66
female,group C,some high school,free/reduced,none,53,46,46
female,group D,high school,free/reduced,completed,66,63,90
male,group C,some high school,standard,none,68,61,84
male,group A,bachelor's degree,free/reduced,completed,64,80,85
male,group C,high school,free/reduced,none,49,56,45
female,group A,associate's degree,standard,none,82,85,68
female,group B,high school,standard,none,52,55,64
female,group E,some high school,standard,none,95,60,60
female,group D,some college,free/reduced,none,57,61,50
female,group C,high school,standard,none,63,88,68
male,group B,some college,standard,completed,74,62,59
male,group B,associate's degree,standard,none,70,82,77
male,group C,bachelor's degree,standard,none,76,72,95
female,group C,some high school,standard,none,50,44,49
female,group D,some high school,free/reduced,none,34,62,76
male,group D,some high school,standard,completed,72,72,76
female,group A,associate's degree,standard,none,57,67,90
female,group D,high school,standard,completed,85,73,59
male,group C,associate's degree,standard,none,78,53,88
female,group D,bachelor's degree,standard,none,72,61,81
male,group B,some high school,standard,none,74,71,60
male,group C,some college,standard,none,58,55,73
male,group A,associate's degree,standard,completed,83,66,75
female,group D,high school,standard,none,72,53,42
female,group C,high school,standard,none,71,71,50
male,group A,associate's degree,standard,none,49,100,65
male,group C,some college,standard,none,54,34,74
male,group C,some college,standard,none,100,80,86
female,group C,master's degree,standard,completed,63,99,86
male,group C,some college,free/reduced,completed,61,67,60
male,group E,associate's degree,standard,none,76,63,69
female,group B,some college,standard,completed,100,72,95
male,group E,some college,free/reduced,completed,78,68,84
male,group C,high school,free/reduced,completed,81,40,79
female,group B,associate's degree,standard,none,50,84,84
female,group B,master's degree,free/reduced,none,72,62,73
male,group E,some college,standard,completed,66,71,89
female,group D,high school,free/reduced,none,79,62,42
male,group A,associate's degree,free/reduced,none,78,93,68
female,group C,some high school,standard,completed,61,79,60
female,group B,high school,free/reduced,none,71,64,56
female,group E,some college,standard,none,70,89,59
female,group D,high school,free/reduced,completed,60,87,79
female,group A,master's degree,standard,none,100,63,76
female,group A,bachelor's degree,standard,none,67,100,82
male,group B,some college,free/reduced,completed,50,75,64
male,group D,master's degree,free/reduced,none,49,89,80
male,group B,some college,standard,none,97,62,78
male,group A,some college,standard,none,69,55,67
female,group C,some college,standard,none,55,70,79
male,group D,bachelor's degree,standard,completed,98,83,88
female,group C,bachelor's degree,free/reduced,none,45,75,64
male,group A,some high school,standard,none,58,72,56
female,group B,some college,standard,none,86,56,79
female,group D,master's degree,free/reduced,none,58,77,71
female,group B,bachelor's degree,free/reduced,none,69,53,61
female,group A,high school,standard,none,65,67,87
female,group C,some college,standard,none,93,73,69
female,group D,some college,free/reduced,none,62,74,65
male,group C,associate's degree,standard,completed,81,95,65
male,group B,high school,free/reduced,none,53,55,61
female,group C,master's degree,standard,none,48,93,66
female,group C,associate's degree,standard,none,68,77,72
male,group C,high school,free/reduced,completed,78,55,75
male,group B,some college,free/reduced,none,44,73,85
male,group C,high school,standard,none,50,71,71
male,group D,high school,standard,none,42,64,59
female,group A,bachelor's degree,free/reduced,none,58,75,52
male,group D,some high school,standard,completed,57,57,65
female,group E,high school,standard,completed,96,89,77
male,group E,high school,standard,completed,68,60,86
female,group C,associate's degree,standard,completed,93,91,86
female,group D,master's degree,standard,none,78,74,87
female,group E,high school,standard,none,86,91,54
female,group C,high school,standard,none,42,38,71
female,group E,bachelor's degree,standard,completed,97,96,85
female,group E,master's degree,free/reduced,none,61,54,66
male,group B,bachelor's degree,standard,none,86,77,84
male,group C,bachelor's degree,standard,none,75,100,68
female,group C,master's degree,standard,none,97,76,56
female,group B,some college,standard,none,78,80,67
female,group E,associate's degree,free/reduced,completed,70,41,69
male,group A,master's degree,standard,none,89,100,94
male,group B,some college,standard,none,71,69,77
male,group E,some high school,free/reduced,none,59,64,51
female,group A,associate's degree,free/reduced,none,50,85,67
female,group B,high school,standard,none,84,54,50
male,group E,associate's degree,free/reduced,none,84,76,64
male,group E,some high school,standard,none,80,79,58
female,group C,some high school,free/reduced,completed,45,52,66
female,group A,associate's degree,standard,none,57,68,100
male,group A,associate's degree,standard,completed,90,88,76
female,group D,high school,free/reduced,none,41,45,75
male,group D,associate's degree,standard,none,80,75,53
male,group C,some high school,free/reduced,none,82,34,50
male,group E,high school,standard,completed,88,75,66
male,group B,high school,standard,none,71,58,69
female,group D,bachelor's degree,free/reduced,none,71,56,77
female,group C,bachelor's degree,free/reduced,none,58,44,61
male,group B,high school,free/reduced,none,46,59,33
male,group B,associate's degree,free/reduced,none,58,61,46
female,group C,associate's degree,standard,completed,85,78,85
female,group B,high school,standard,completed,54,64,77
female,group D,some high school,standard,completed,44,86,55
male,group C,some high school,standard,none,66,59,77
female,group B,master's degree,standard,completed,93,90,83
male,group C,associate's degree,free/reduced,completed,92,60,81
female,group D,some college,free/reduced,none,65,54,75
male,group C,bachelor's degree,standard,none,98,83,72
female,group B,some high school,standard,none,62,77,68
female,group D,high school,standard,completed,72,68,42
female,group A,bachelor's degree,standard,none,60,87,68
female,group C,associate's degree,free/reduced,none,68,55,72
female,group A,high school,standard,none,41,64,57
female,group D,bachelor's degree,free/reduced,none,66,80,81
female,group C,high school,standard,none,88,76,51
male,group D,master's degree,free/reduced,completed,71,99,84
male,group A,some college,standard,none,65,78,66
female,group D,some college,free/reduced,completed,48,68,67
female,group C,associate's degree,free/reduced,none,19,58,47
male,group C,some high school,standard,none,91,57,87
male,group C,high school,standard,none,48,42,79
female,group D,associate's degree,free/reduced,completed,41,81,78
male,group B,associate's degree,standard,none,61,57,75
male,group B,some college,standard,none,61,82,74
male,group D,some high school,standard,none,66,40,69
male,group C,high school,standard,none,81,86,37
female,group E,high school,free/reduced,none,43,70,71
male,group C,bachelor's degree,free/reduced,completed,75,72,96
male,group C,associate's degree,standard,completed,90,50,64
male,group C,some college,free/reduced,completed,80,70,72
female,group C,associate's degree,standard,completed,80,98,61
male,group B,associate's degree,free/reduced,none,68,60,52
male,group B,bachelor's degree,free/reduced,none,47,75,65
male,group D,high school,free/reduced,completed,55,60,63
male,group C,some high school,free/reduced,none,46,51,65
male,group C,bachelor's degree,standard,none,71,71,55
male,group D,high school,standard,none,54,53,64
male,group D,associate's degree,free/reduced,none,67,79,54
female,group E,high school,standard,completed,59,78,86
male,group C,some high school,standard,none,60,55,90
female,group D,associate's degree,free/reduced,none,78,87,69
male,group A,high school,free/reduced,completed,88,66,33
male,group C,some high school,standard,none,31,39,75
female,group C,high school,standard,completed,41,63,91
male,group D,some college,standard,none,81,68,56
female,group B,associate's degree,standard,completed,95,100,62
male,group C,some high school,standard,none,70,53,40
male,group D,associate's degree,standard,completed,93,79,56
male,group C,some high school,standard,completed,89,70,85
male,group B,master's degree,free/reduced,none,79,65,79
female,group D,high school,free/reduced,completed,57,46,58
male,group E,bachelor's degree,free/reduced,none,60,58,63
male,group A,associate's degree,free/reduced,completed,83,63,66
female,group B,some high school,standard,none,68,31,43
female,group D,some college,standard,completed,66,67,77
female,group A,some college,standard,none,61,68,69
female,group B,high school,free/reduced,completed,76,64,51
male,group D,high school,standard,none,71,73,62
female,group C,high school,free/reduced,completed,72,44,43
female,group A,some high school,standard,completed,66,86,67
female,group C,high school,standard,none,85,62,62
female,group D,associate's degree,free/reduced,completed,72,59,62
female,group E,some high school,standard,none,92,65,69
male,group E,some college,free/reduced,none,85,74,46
male,group B,bachelor's degree,standard,none,100,66,49
female,group A,some high school,free/reduced,none,48,41,65
male,group B,some college,free/reduced,none,100,39,63
female,group D,associate's degree,free/reduced,completed,53,59,79
male,group C,high school,standard,completed,58,71,84
male,group D,some college,standard,completed,54,56,73
female,group E,high school,standard,completed,72,64,75
male,group D,master's degree,standard,completed,82,76,100
female,group B,some high school,standard,none,51,79,51
female,group D,some high school,free/reduced,completed,39,52,65
female,group C,associate's degree,standard,completed,96,47,82
male,group B,high school,standard,completed,82,70,92
male,group D,some college,free/reduced,completed,43,60,29
female,group E,some college,standard,completed,75,63,100
male,group B,some college,standard,completed,82,54,100
female,group C,bachelor's degree,free/reduced,none,85,100,78
female,group C,bachelor's degree,standard,none,54,65,66
female,group C,some high school,standard,completed,61,54,88
female,group B,some high school,standard,none,75,71,65
female,group B,some high school,free/reduced,completed,65,31,60
male,group C,bachelor's degree,standard,none,78,68,76
female,group B,some high school,standard,none,65,56,74
female,group C,associate's degree,standard,none,60,90,94
male,group C,some high school,free/reduced,none,66,45,36
